out_size	in_size	in_pattern_numb	train_time	identification_time	epochs
1	3	100	0.0	0.0	1
1	3	1000	0.05	0.0	1
1	3	10000	0.36	0.01	1
1	3	100000	3.83	0.13	1
1	10	100	0.01	0.0	1
1	10	1000	0.04	0.0	1
1	10	10000	0.48	0.01	1
1	10	100000	5.1	0.14	1
1	100	100	0.02	0.0	1
1	100	1000	0.18	0.0	1
1	100	10000	1.87	0.01	1
1	100	100000	17.89	0.1	1
1	1000	100	0.17	0.0	1
1	1000	1000	1.59	0.01	1
1	1000	10000	14.3	0.01	1
1	1000	100000	147.95	0.11	1
5	3	100	0.12	0.02	1
5	3	1000	1.24	0.18	1
5	3	10000	12.19	1.84	1
5	3	100000	123.8	18.3	1
5	10	100	0.2	0.05	1
5	10	1000	2.09	0.55	1
5	10	10000	21.13	5.61	1
5	10	100000	234.67	66.62	1
5	100	100	1.31	0.55	1
5	100	1000	13.23	5.51	1
5	100	10000	119.42	48.8	1
5	100	100000	1510.12	648.1	1
5	1000	100	13.97	6.33	1
5	1000	1000	120.58	47.78	1
5	1000	10000	1454.73	696.18	1
5	1000	100000	30583.6	17537.88	1
10	3	100	1.75	0.52	1
10	3	1000	15.44	2.99	1
10	3	10000	160.11	31.14	1
10	3	100000	987.54	77.31	1
10	10	100	1.22	0.23	1
10	10	1000	12.27	2.37	1
10	10	10000	124.63	24.68	1
10	10	100000	1325.03	277.17	1
10	100	100	5.88	2.36	1
10	100	1000	53.33	19.7	1
10	100	10000	533.14	212.25	1
10	100	100000	6345.81	2465.89	1
10	1000	100	54.84	25.7	1
10	1000	1000	451.34	200.08	1
10	1000	10000	6113.59	3043.66	1
10	3	100	0.9	0.09	1
10	3	1000	8.58	0.88	1
10	10	100	1.34	0.28	1
10	10	1000	13.04	2.71	1
10	100	100	5.7	2.25	1
10	100	1000	57.19	22.75	1
10	1000	100	47.57	21.16	1
10	1000	1000	487.6	219.24	1
50	3	100	311.29	2.11	1
50	3	1000	3040.34	20.6	1
50	10	100	331.65	6.36	1
50	10	1000	3299.91	63.28	1
50	100	100	460.89	55.02	1
50	100	1000	4583.27	536.05	1
50	1000	100	1726.96	581.43	1
50	1000	1000	17908.85	6206.9	1
10	3	100	1.24	0.09	2
10	3	1000	12.36	1.03	2
10	10	100	1.92	0.3	2
10	10	1000	17.94	2.52	2
10	100	100	7.87	2.14	2
10	100	1000	78.82	21.12	2
10	1000	100	69.71	21.18	2
10	1000	1000	707.31	213.57	2
50	3	100	348.8	2.09	2
50	3	1000	3402.88	20.68	2
50	10	100	381.48	6.43	2
50	10	1000	3872.24	63.32	2
50	100	100	559.5	53.54	2
50	100	1000	5681.83	537.74	2
50	1000	100	2348.9	583.86	2
50	1000	1000	24476.24	6121.67	2
10	3	100	1.66	0.1	3
10	3	1000	16.75	1.02	3
10	10	100	2.6	0.3	3
10	10	1000	23.51	2.48	3
10	100	100	10.32	2.09	3
10	100	1000	103.88	20.97	3
10	1000	100	91.36	20.55	3
10	1000	1000	942.38	213.81	3
50	3	100	392.83	2.08	3
50	3	1000	3939.87	21.06	3
50	10	100	426.39	6.27	3
50	10	1000	4331.48	63.29	3
50	100	100	652.83	52.97	3
50	100	1000	6637.13	534.33	3
50	1000	100	3066.35	583.66	3
50	1000	1000	31605.48	6115.88	3
10	3	100	1.88	0.11	4
10	3	1000	18.28	0.81	4
10	10	100	2.63	0.24	4
10	10	1000	26.88	2.44	4
10	100	100	12.53	2.11	4
10	100	1000	126.04	21.06	4
10	1000	100	111.6	20.49	4
10	1000	1000	1157.71	213.37	4
50	3	100	433.19	2.09	4
50	3	1000	4333.54	20.57	4
50	10	100	470.9	6.32	4
50	10	1000	4914.91	62.68	4
50	100	100	749.02	53.08	4
50	100	1000	7666.09	533.04	4
50	1000	100	3692.31	581.82	4
50	1000	1000	38534.31	6155.93	4
