epoch	radius	lrate	distance	terror
0	8	0.598	15.023	131.071
1	8	0.596	16.347	127.323
2	8	0.594	14.763	123.535
3	8	0.592	16.104	131.698
4	8	0.59	15.322	121.803
5	8	0.588	15.515	123.953
6	8	0.586	15.222	129.997
7	8	0.584	15.707	113.186
8	8	0.582	14.573	131.488
9	8	0.58	14.677	129.226
10	8	0.578	15.308	126.02
11	8	0.576	14.809	117.463
12	8	0.575	15.47	104.385
13	8	0.573	15.531	136.973
14	8	0.571	15.091	118.02
15	8	0.569	15.442	128.11
16	8	0.567	14.476	136.635
17	8	0.565	14.815	122.047
18	7	0.563	14.549	135.806
19	7	0.561	16.168	122.782
20	7	0.559	16.874	129.107
21	7	0.558	17.404	134.304
22	7	0.556	18.375	126.674
23	7	0.554	17.584	132.52
24	7	0.552	18.336	119.861
25	7	0.55	18.376	118.314
26	7	0.548	16.974	106.309
27	7	0.547	17.645	112.768
28	7	0.545	18.249	105.354
29	7	0.543	18.007	131.569
30	7	0.541	16.905	114.539
31	7	0.539	16.568	131.27
32	7	0.538	17.987	143.619
33	7	0.536	17.197	140.523
34	7	0.534	17.632	152.334
35	7	0.532	20.191	133.953
36	7	0.53	16.611	124.558
37	7	0.529	17.786	113.485
38	7	0.527	19.237	127.323
39	7	0.525	17.802	122.319
40	7	0.523	18.489	134.078
41	7	0.522	19.334	115.993
42	7	0.52	17.04	114.338
43	7	0.518	19.548	103.197
44	7	0.516	19.115	122.888
45	7	0.515	17.242	139.713
46	7	0.513	17.924	103.602
47	7	0.511	18.45	138.197
48	7	0.51	18.887	138.129
49	7	0.508	17.752	129.885
50	7	0.506	18.887	116.265
51	7	0.505	18.415	101.826
52	7	0.503	20.209	119.915
53	7	0.501	17.057	98.499
54	7	0.499	19.267	119.578
55	7	0.498	17.476	116.14
56	7	0.496	17.007	142.174
57	7	0.495	18.781	120.001
58	7	0.493	18.454	138.748
59	6	0.491	17.848	124.923
60	6	0.49	20.087	104.391
61	6	0.488	20.861	123.129
62	6	0.486	19.388	100.081
63	6	0.485	21.454	113.614
64	6	0.483	20.009	115.936
65	6	0.482	21.042	93.986
66	6	0.48	19.683	99.861
67	6	0.478	20.873	107.759
68	6	0.477	19.223	108.056
69	6	0.475	21.577	111.087
70	6	0.474	21.02	91.466
71	6	0.472	21.495	107.991
72	6	0.47	21.747	120.012
73	6	0.469	20.738	116.102
74	6	0.467	22.564	124.731
75	6	0.466	21.037	122.109
76	6	0.464	19.492	113.266
77	6	0.463	20.566	123.633
78	6	0.461	22.45	97.658
79	6	0.46	21.197	105.184
80	6	0.458	19.874	83.965
81	6	0.457	21.655	70.217
82	6	0.455	20.595	83.277
83	6	0.453	19.266	92.334
84	6	0.452	19.205	100.386
85	6	0.45	18.441	129.45
86	6	0.449	19.648	112.598
87	6	0.447	21.333	98.328
88	6	0.446	19.348	106.317
89	6	0.444	19.395	104.307
90	6	0.443	21.37	88.943
91	6	0.442	21.058	127.195
92	6	0.44	19.728	96.795
93	6	0.439	22.409	107.951
94	6	0.437	18.49	118.644
95	6	0.436	19.494	110.817
96	6	0.434	20.804	117.012
97	6	0.433	20.156	119.477
98	6	0.431	19.593	85.952
99	6	0.43	20.611	81.6
100	6	0.428	20.321	75.23
101	6	0.427	18.717	94.016
102	6	0.426	20.533	96.204
103	6	0.424	20.282	81.678
104	6	0.423	19.757	82.634
105	6	0.421	20.807	106.168
106	6	0.42	19.845	73.155
107	6	0.419	19.413	96.978
108	5	0.417	19.331	122.132
109	5	0.416	21.981	89.381
110	5	0.414	22.896	68.301
111	5	0.413	22.885	64.837
112	5	0.412	22.945	59.789
113	5	0.41	21.74	66.268
114	5	0.409	22.862	95.632
115	5	0.408	23.173	67.79
116	5	0.406	23.276	63.377
117	5	0.405	22.93	63.674
118	5	0.404	23.021	63.25
119	5	0.402	23.12	74.691
120	5	0.401	23.591	59.938
121	5	0.4	22.888	68.988
122	5	0.398	24.798	64.317
123	5	0.397	22.9	60.477
124	5	0.396	23.094	60.507
125	5	0.394	23.356	60.111
126	5	0.393	22.909	58.249
127	5	0.392	23.263	67.315
128	5	0.39	23.097	60.519
129	5	0.389	23.629	61.666
130	5	0.388	23.425	58.658
131	5	0.386	23.111	61.739
132	5	0.385	24.923	64.488
133	5	0.384	22.046	65.971
134	5	0.383	22.176	60.881
135	5	0.381	22.272	56.965
136	5	0.38	21.039	71.577
137	5	0.379	22.927	56.972
138	5	0.378	23.984	73.576
139	5	0.376	22.858	74.124
140	5	0.375	22.575	60.824
141	5	0.374	23.336	65.469
142	5	0.373	22.37	62.163
143	5	0.371	22.305	56.07
144	5	0.37	23.491	75.002
145	5	0.369	22.503	63.917
146	5	0.368	22.142	66.137
147	5	0.366	22.555	55.897
148	5	0.365	23.78	87.731
149	5	0.364	23.766	67.805
150	5	0.363	23.503	61.304
151	5	0.362	24.431	61.334
152	5	0.36	23.144	70.597
153	5	0.359	24.342	65.636
154	5	0.358	23.159	57.216
155	5	0.357	23.243	64.421
156	5	0.356	22.693	58.84
157	5	0.354	24.141	63.177
158	5	0.353	23.866	66.969
159	5	0.352	23.222	56.824
160	5	0.351	24.314	66.016
161	5	0.35	24.877	71.713
162	5	0.348	23.082	58.161
163	5	0.347	23.985	64.641
164	5	0.346	24.808	72.029
165	5	0.345	23.078	62.191
166	4	0.344	23.194	56.01
167	4	0.343	26.254	53.362
168	4	0.342	26.079	53.401
169	4	0.34	25.597	52.534
170	4	0.339	25.85	47.005
171	4	0.338	26.169	51.825
172	4	0.337	26.266	55.975
173	4	0.336	26.781	55.245
174	4	0.335	26.579	48.062
175	4	0.334	26.73	52.807
176	4	0.333	26.626	53.154
177	4	0.331	25.4	55.172
178	4	0.33	25.56	48.602
179	4	0.329	25.668	55.231
180	4	0.328	25.45	54.753
181	4	0.327	26.058	55.662
182	4	0.326	25.719	49.114
183	4	0.325	25.99	52.329
184	4	0.324	25.574	49.978
185	4	0.323	25.94	51.801
186	4	0.322	25.753	54.647
187	4	0.321	25.4	58.566
188	4	0.32	25.333	56.12
189	4	0.318	25.851	53.536
190	4	0.317	25.376	52.423
191	4	0.316	25.912	49.543
192	4	0.315	25.586	50.353
193	4	0.314	26.016	50.627
194	4	0.313	26.106	50.619
195	4	0.312	25.54	54.532
196	4	0.311	25.428	48.569
197	4	0.31	25.592	52.918
198	4	0.309	25.574	52.269
199	4	0.308	25.782	51.559
200	4	0.307	25.866	49.961
201	4	0.306	25.274	53.234
202	4	0.305	25.683	49.057
203	4	0.304	25.49	47.206
204	4	0.303	25.477	49.315
205	4	0.302	25.599	48.13
206	4	0.301	25.357	49.831
207	4	0.3	25.963	50.817
208	4	0.299	25.642	48.157
209	4	0.298	25.813	52.478
210	4	0.297	25.257	48.866
211	4	0.296	25.913	49.793
212	4	0.295	25.308	52.546
213	4	0.294	25.553	50.08
214	4	0.293	25.716	49.478
215	4	0.292	25.969	49.785
216	4	0.291	25.838	49.167
217	4	0.29	25.748	48.068
218	4	0.289	25.756	49.992
219	4	0.288	25.215	49.961
220	4	0.287	25.248	47.57
221	4	0.286	25.457	48.785
222	4	0.285	25.364	47.02
223	4	0.284	25.543	49.723
224	4	0.283	25.242	46.366
225	4	0.282	25.341	50.667
226	4	0.282	25.518	49.202
227	4	0.281	25.787	49.551
228	4	0.28	25.531	55.018
229	4	0.279	25.872	49.566
230	4	0.278	25.37	48.154
231	4	0.277	25.426	48.935
232	4	0.276	25.432	48.642
233	4	0.275	25.67	53.103
234	4	0.274	25.518	47.637
235	4	0.273	25.127	47.864
236	4	0.272	25.516	47.532
237	4	0.271	25.218	52.092
238	3	0.27	25.6	49.729
239	3	0.27	28.632	40.119
240	3	0.269	28.348	40.001
241	3	0.268	28.308	41.388
242	3	0.267	28.419	40.426
243	3	0.266	28.155	40.586
244	3	0.265	28.305	40.956
245	3	0.264	28.232	39.26
246	3	0.263	28.099	41.946
247	3	0.263	28.42	42.458
248	3	0.262	27.878	39.393
249	3	0.261	27.898	38.635
250	3	0.26	28.0	39.598
251	3	0.259	28.06	38.803
252	3	0.258	28.298	39.751
253	3	0.257	28.322	38.995
254	3	0.256	28.525	39.192
255	3	0.256	27.904	40.152
256	3	0.255	27.683	40.363
257	3	0.254	28.074	39.455
258	3	0.253	28.489	39.298
259	3	0.252	28.638	39.061
260	3	0.251	28.277	40.395
261	3	0.251	28.229	39.955
262	3	0.25	28.306	39.555
263	3	0.249	28.445	40.267
264	3	0.248	28.773	40.581
265	3	0.247	28.048	38.516
266	3	0.246	28.5	40.673
267	3	0.246	28.444	39.32
268	3	0.245	28.57	39.171
269	3	0.244	28.425	40.754
270	3	0.243	28.465	39.36
271	3	0.242	27.97	38.336
272	3	0.242	27.883	37.84
273	3	0.241	28.123	37.929
274	3	0.24	27.977	38.084
275	3	0.239	28.033	38.848
276	3	0.238	27.857	37.598
277	3	0.238	28.682	40.186
278	3	0.237	28.545	40.49
279	3	0.236	28.34	40.409
280	3	0.235	28.544	39.21
281	3	0.234	28.165	40.243
282	3	0.234	28.263	37.806
283	3	0.233	27.987	38.527
284	3	0.232	28.098	37.943
285	3	0.231	28.246	38.25
286	3	0.231	28.411	39.64
287	3	0.23	28.295	39.195
288	3	0.229	28.083	37.24
289	3	0.228	27.806	37.623
290	3	0.227	28.345	37.764
291	3	0.227	27.985	38.063
292	3	0.226	27.93	37.173
293	3	0.225	28.146	37.572
294	3	0.224	28.135	39.227
295	3	0.224	27.987	38.464
296	3	0.223	28.328	37.021
297	3	0.222	28.291	37.589
298	3	0.221	27.932	37.674
299	3	0.221	28.315	37.569
300	3	0.22	28.129	37.235
301	3	0.219	28.221	38.318
302	3	0.219	27.803	37.613
303	3	0.218	28.136	37.047
304	3	0.217	28.047	36.81
305	3	0.216	28.531	37.258
306	3	0.216	28.158	39.272
307	3	0.215	28.099	37.537
308	3	0.214	28.033	37.049
309	3	0.213	28.301	37.23
310	3	0.213	28.33	37.489
311	3	0.212	28.567	36.594
312	3	0.211	28.384	37.686
313	3	0.211	28.636	38.357
314	3	0.21	28.203	37.111
315	3	0.209	28.317	36.775
316	3	0.209	27.837	38.577
317	3	0.208	27.669	37.053
318	3	0.207	27.713	37.522
319	3	0.206	28.208	36.769
320	3	0.206	28.466	37.581
321	3	0.205	28.232	36.804
322	3	0.204	28.299	37.426
323	3	0.204	28.556	37.825
324	3	0.203	28.165	36.403
325	3	0.202	28.175	36.922
326	3	0.202	27.968	37.807
327	3	0.201	28.649	38.55
328	3	0.2	28.546	36.723
329	3	0.2	27.976	37.042
330	3	0.199	28.51	36.258
331	3	0.198	28.169	35.798
332	3	0.198	28.271	38.232
333	3	0.197	27.884	38.188
334	3	0.196	28.337	37.204
335	2	0.196	28.598	36.887
336	2	0.195	33.351	30.542
337	2	0.194	33.064	29.885
338	2	0.194	33.135	30.037
339	2	0.193	33.43	30.548
340	2	0.193	33.21	29.725
341	2	0.192	33.442	29.162
342	2	0.191	33.215	30.127
343	2	0.191	33.434	29.283
344	2	0.19	33.135	29.763
345	2	0.189	33.398	29.854
346	2	0.189	33.275	29.397
347	2	0.188	33.303	28.792
348	2	0.187	33.241	29.642
349	2	0.187	33.471	28.946
350	2	0.186	33.241	29.583
351	2	0.186	33.377	29.723
352	2	0.185	33.622	29.605
353	2	0.184	33.607	29.542
354	2	0.184	33.665	29.625
355	2	0.183	33.3	29.767
356	2	0.183	33.302	29.703
357	2	0.182	33.325	29.968
358	2	0.181	33.593	29.555
359	2	0.181	32.841	29.508
360	2	0.18	33.036	29.179
361	2	0.18	33.488	29.131
362	2	0.179	33.353	29.676
363	2	0.178	33.384	28.905
